de,1=的
iueyy,1=除
jisjj,1=级
kcuvv,1=考
jmzaa,1=建
yryxx,1=愿
vcfvv,1=招
fjuff,1=饭
bujaa,1=布
xusmm,1=续
ighww,1=程
uzezz,1=首
gryjj,1=观
pgyyy,1=朋
wuwll,1=务
gjzgg,1=赶
huwxx,1=忽
vudvv,1=注
uumdd,1=术
ufqvv,1=甚
hekkk,1=呵
vjunn,1=展
vgpvv,1=争
pbkkk,1=品
ljess,1=兰
bcbyy,1=宝
xlhrr,1=香
dzudd,1=斗
gugww,1=故
lwytt,1=雷
nmjxx,1=念
jnypp,1=角
yibnn,1=疑
hufhh,1=护
ujmrr,1=闪
tnyvv,1=调
mwnww,1=妹
bafbb,1=爸
xmsgg,1=线
zogaa,1=左
yzdzz,1=游
pddnn,1=派
jidjj,1=激
bkduu,1=冰
diuww,1=敌
tnzvv,1=跳
viuyy,1=支
ytsuu,1=约
bavvv,1=巴
guiyy,1=顾
xkyxx,1=醒
tpjuu,1=铁
bcfbb,1=抱
djdyy,1=淡
zczgg,1=造
horhh,1=伙
zicbb,1=资
jirmm,1=集
lmegg,1=联
uhkdd,1=商
hckkk,1=号
jpcaa,1=节
jlyjj,1=讲
vheuu,1=掌
vczxx,1=赵
mibuu,1=密
bkbbb,1=病
wwvaa,1=卫
wwngg,1=威
jismm,1=继
jmdvv,1=渐
tssii,1=统
yayaa,1=亚
jmvjj,1=简
lmsdd,1=练
jiqtt,1=基
tvznn,1=退
wwkww,2=味
ffrff,1=份
jueaa,1=举
uiexx,1=示
rfrxx,1=忍
liill,1=历
qikkk,1=器
ksgxx,1=恐
ybgaa,1=引
uiyuu,1=试
xidvv,1=习
dccvv,1=导
mocdd,1=莫
viuxx,1=志
quxaa,1=区
hjdyy,1=汉
yzkaa,1=右
tdtxx,1=态
xktuu,1=幸
ueutt,1=社
yiyyy,1=议
uumcc,1=树
viaaa,1=止
kktnn,1=块
uzbcc,1=守
hvfjj,1=挥
hugyy,1=胡
sjcww,1=散
bjmff,1=板
jbryy,1=仅
ybejj,1=隐
ilgmm,1=床
sucbb,1=苏
lnmdd,1=料
guyyy,1=股
juukk,1=局
bjwww,1=班
liuvv,1=礼
duqii,1=独
iuydd,1=初
fuutt,1=福
klqww,1=狂
mohqq,1=默
juaaa,1=巨
jivvv,2=既
ssmgg,1=松
vgyvv,1=证
lplee,1=烈
eeyyy,1=恶
vidtt,1=治
hrsyy,1=缓
fwfbb,1=费
pdvbb,1=拍
eraaa,2=耳
yiuaa,1=医
hjgdd,1=寒
kuxqq,1=哭
wfdmm,1=温
fugff,1=府
djfdd,1=担
ighxx,1=称
yurdd,1=余
vsjvv,1=钟
lwdmm,1=泪
yjhyy,1=烟
jubaa,1=具
whwxx,1=忘
bibuu,1=毕
jkjyy,1=警
ljcmm,1=蓝
gsbll,1=宫
xikjj,1=吸
luejj,1=陆
jqbjj,1=究
yaidd,1=压
uaduu,1=沙
jqqww,1=救
ddkmm,1=呆
hedkk,1=河
mizmm,1=迷
qlmcc,1=枪
qrmyy,1=权
tjkyy,1=叹
iamdd,1=查
hcmdd,1=毫
iabuu,1=察
ugytt,1=圣
jnijj,1=较
ugyuu,1=胜
yuzdd,1=遇
uiann,1=史
thett,1=堂
fheff,1=防
mgqmm,1=猛
qimqq,1=骑
tuuaa,1=土
vuqll,1=助
jkxdd,1=京
ybjnn,1=银
ysdnn,1=永
vibpp,1=质
wuuvv,1=屋
xupyy,1=须
cidaa,1=刺
uuuyy,1=属
wfmee,1=闻
jktjj,1=境
jbluu,1=禁
ybeyy,1=阴
gscbb,1=共
furpp,1=负
fjfyy,1=翻
hujaa,1=虎
hjkxx,1=喊
tczvv,1=逃
xnrww,1=晓
zogzz,1=座
yayaa,2=雅
cjppp,1=参
ueucc,1=射
hynhh,1=婚
xmeaa,1=险
jykyy,1=君
hxgdd,1=划
jmtaa,1=坚
jxrjj,1=价
rzmmm,1=柔
yhfpp,1=扬
kehdd,2=科
hfqnn,1=狠
yelyy,1=野
qbhaa,1=秦
mihbb,1=秘
uuuee,1=熟
visvv,1=置
xmruu,1=仙
mommm,1=模
ufruu,2=伸
jxrjj,2=假
qiwaa,1=齐
wupaa,1=舞
toydd,1=脱
glidd,1=广
gungg,1=姑
magll,1=麻
tzfyy,1=投
dkdyy,1=顶
vivww,1=致
zebaa,1=责
jkrjj,1=景
ykcll,1=营
wwsaa,1=维
lakll,1=啦
xqhnn,1=秀
bdbww,1=败
mwmvv,1=眉
vzdaa,1=州
yccyy,1=药
igvnn,1=承
anamm,1=案
lhqll,1=狼
vradd,1=专
tzryy,1=偷
hxaaa,1=画
wuktt,1=吴
dmgvv,1=店
eekww,1=哦
tjgdd,1=弹
uirll,2=食
yugqq,1=欲
tdftt,1=抬
bnmuu,1=标
qqqhh,1=秋
liiww,1=厉
lldnn,1=良
jieuu,1=际
vldqq,1=状
fjhyy,1=烦
wugpp,1=午
bdfbb,1=摆
xiygg,1=戏
irvkk,1=船
drudd,1=短
cymcc,1=村
mofmm,1=摸
furff,1=付
yjdyy,1=演
gvfjj,1=规
xncss,1=萧
fgtcc,1=封
wofww,1=握
tmkuu,1=田
thgkk,1=唐
vfyii,1=震
xuyaa,1=虚
tzzxx,1=透
jisjj,2=纪
lkdww,1=凌
xqrmm,1=休
makmm,1=嘛
mwmmm,1=梅
zicxx,1=紫
gegqq,1=歌
lbaaa,1=临
dumaa,1=毒
zsbuu,1=宗
vucvv,1=著
souxx,1=索
ybepp,1=印
hudhh,1=湖
jblvv,1=劲
vievv,1=职
jifvv,1=技
hfxnn,1=恨
popnn,1=婆
jpmee,1=杰
yuxxx,1=羽
zjkzz,1=咱
suxaa,1=素
fjdjj,1=凡
virvv,1=值
pnpff,1=飘
yheaa,1=养
hwkhh,1=嘿
xxkxx,1=吓
uzekk,1=兽
xxwaa,1=夏
duymm,1=读
jprjj,1=街
fhrff,1=仿
xsyxx,1=胸
fubtt,1=富
uhekk,1=尚
yubyy,1=宇
guyaa,1=骨
viurr,1=智
ffsff,1=纷
ugpaa,1=升
uuuyy,2=叔
ujekk,1=善
rogdd,1=弱
jxjmm,1=架
mdumm,1=卖
dddyy,1=袋
whxaa,1=网
vuwpp,1=朱
makmm,2=骂
xsaaa,1=雄
bwmbb,1=杯
uifyy,1=施
qlthh,1=墙
hrwbb,1=环
zvsff,1=罪
yaapp,1=牙
ilbww,1=窗
lqmee,1=柳
tkidd,1=厅
gcfgg,1=搞
drlee,1=端
dsdtt,1=洞
uizuu,1=适
ysfyy,1=拥
uicaa,1=释
yhdyy,1=洋
jmhyy,1=肩
hyygg,1=魂
mgcnn,1=蒙
dghdd,1=灯
jprxx,1=借
borbb,1=伯
mmpvv,1=免
cdccc,1=菜
yjmaa,1=验
fgypp,1=凤
yupaa,1=鱼
xuryy,1=徐
xkxtt,1=型
nannn,1=娜
bcruu,1=暴
whdvv,1=亡
tcycc,1=讨
bwfii,1=辈
dsxdd,1=懂
tvynn,1=腿
mnnuu,1=妙
xnjww,1=效
wwpvv,1=危
yzryy,1=优
pjvmm,1=盘
dkavv,1=丁
quzqq,1=趣
ycnyy,1=妖
uiyss,1=诗
ykzee,1=迎
uerkk,1=舍
jqraa,1=旧
cdcpp,1=彩
wwhnn,1=委
bivmm,1=笔
gzqjj,1=狗
xmyyy,1=鲜
visuu,1=纸
tjfmm,1=探
hjuww,1=韩
niubb,1=尼
ksfkk,1=控
xixxx,1=惜
vuwvv,1=珠
gvaaa,1=归
tkftt,1=挺
ffdtt,1=奋
pwekk,1=陪
ykugg,1=硬
bizbb,1=避
yrkyy,1=园
xyyii,1=训
yslvv,1=勇
ndnnn,1=奶
vlgtt,1=庄
bfdcc,1=奔
vfjvv,1=镇
qrudd,1=拳
cdmpp,1=采
yjukk,1=研
jpraa,1=介
mcrmm,1=冒
lvxaa,1=虑
jkcww,1=敬
djpdd,1=丹
uuuyy,3=舒
djivv,1=蛋
hgkhh,1=哼
ssbmm,1=宋
jidqq,1=济
funaa,1=妇
jmvqq,1=箭
zefaa,1=择
fjqvv,1=犯
xbjqq,1=欣
jxaaa,1=甲
keygg,1=课
pufbb,1=扑
fwcff,1=菲
yjeaa,1=燕
quaaa,1=曲
doudd,1=躲
xrddd,1=玄
hrsvv,1=幻
iacdd,1=茶
vefjj,1=折
yiryy,2=伊
uarww,1=傻
xknuu,1=姓
yrdyy,1=源
lodgg,1=洛
bmzbb,1=遍
ifavv,1=臣
qidaa,1=弃
yzqyy,1=犹
pndpp,1=漂
tnfvv,1=挑
hocqq,1=获
fguff,1=峰
jyrww,1=俊
fgbff,1=疯
qinaa,1=妻
lmxdd,1=恋
wuyww,1=误
bdpaa,1=拜
wwrww,2=伟
yihdd,1=移
nasnn,1=纳
dhexx,1=党
basss,1=罢
ycyyy,1=腰
qngkk,1=巧
guzgg,1=孤
bimcc,1=闭
yrkyy,2=圆
jkjjj,1=镜
hzizz,1=厚
lwtxx,1=累
zorvv,2=昨
yzuaa,1=幽
bwfxx,1=悲
vhann,1=丈
pdpbb,1=牌
jleaa,1=降
yjyyy,1=颜
lccll,1=劳
pmrbb,1=偏
ugumm,1=省
humhh,1=糊
grugg,1=馆
uchww,1=烧
wwyww,1=谓
cdbcc,1=财
jmvjj,2=舰
hjdgg,1=汗
ndduu,1=奈
ccfmm,1=操
jizyy,1=迹
uivpp,1=尸
qnxxx,1=悄
cjdgg,1=残
jmdaa,1=尖
luyrr,1=鲁
fgjff,1=锋
qrkjj,1=圈
yzdyy,1=油
lxrll,1=俩
xlgyy,1=项
vlftt,1=撞
uymaa,1=瞬
yixyy,1=忆
gdemm,1=盖
yzadd,1=尤
turzz,1=徒
xlvpp,1=乡
gdmjj,1=概
huudd,1=户
dhcpp,1=荡
yicyy,1=艺
zuuqq,1=祖
dmuyy,1=殿
xyzuu,1=迅
fjcvv,1=范
lvraa,1=律
fjtpp,1=番
qirvv,1=企
cjxcc,1=惨
xmenn,1=限
juqnn,1=聚
pkrjj,1=凭
jujdd,1=剧
svuzz,1=碎
thuuu,1=躺
yrsnn,1=缘
lldjj,1=凉
tgymm,1=腾
viszz,1=织
qlfcc,1=抢
yuyyy,1=预
ufdvv,1=沈
tifrr,1=替
kszvv,1=孔
pifbb,1=批
khgll,1=康
hohxx,1=惑
wwkaa,1=唯
lvudd,1=率
grxgg,1=惯
dgdvv,1=登
dkmdd,1=盯
uchxx,1=稍
xrbdd,1=宣
ihkii,1=唱
igyii,1=诚
ugidd,1=剩
yckjj,1=咬
yuydd,1=育
vuyvv,1=诸
iujii,1=触
ifrii,1=晨
cevnn,1=策
mjdmm,1=漫
cdmcc,1=材
buybb,1=补
sihdd,1=私
tuktt,1=吐
iystt,1=纯
aicxx,1=艾
bwraa,1=贝
gubkk,1=谷
tkgtt,1=庭
dhfdd,1=挡
hlrww,1=晃
jiukk,1=吉
zirzz,1=仔
izrjj,1=仇
nkdyy,1=凝
guuvv,1=鼓
nsdnn,1=农
xigjj,1=席
vgrvv,1=征
fueff,1=附
qtfnn,1=缺
sdbtt,1=塞
hcdnn,1=豪
yiddd,1=亦
dumtt,1=杜
nunll,1=努
mzymm,1=谋
djydd,1=胆
mfmxx,1=闷
iizii,1=迟
wfhjj,1=稳
yiygg,1=翼
noyrr,1=诺
xmmmm,1=闲
hvhaa,1=灰
dojmm,1=朵
ugimm,1=盛
lldmm,1=梁
jkrrr,1=晶
bchbb,1=爆
lyrll,1=伦
jnnqq,1=娇
cerzz,1=侧
lgxff,1=愣
bizaa,1=鼻
lyill,1=轮
hyurr,1=昏
dzfdd,1=抖
xmejj,1=陷
mbmww,1=敏
ciyss,1=词
hlxhh,1=慌
ffxbb,1=愤
lmxll,1=怜
ijydd,1=颤
jpejj,1=阶
chccc,1=苍
juzjj,1=距
vggee,1=郑
irpaa,1=川
biztt,1=逼
xmqdd,1=县
yzxyy,1=忧
tslll,1=童
vifww,1=执
rscmm,1=荣
bibyy,1=臂
vuznn,1=逐
aoraa,1=傲
ddggg,1=戴
mhcww,1=芒
qkgdd,1=庆
bjrbb,1=伴
xilyy,1=袭
gsrgg,1=供
jihvv,1=积
yczff,1=遥
zueqq,1=阻
lirll,1=例
vgmvv,1=睁
dcupp,1=岛
yizgg,1=遗
dgmdd,1=瞪
mucdd,1=慕
vzppp,1=皱
boucc,1=博
mucjj,1=幕
cdqqq,1=猜
yiemm,1=益
jkdvv,1=净
zedaa,1=泽
lmhdd,1=炼
jmmaa,1=监
jiynn,1=鸡
vfwpp,1=珍
furqq,1=伏
ucsvv,1=绍
cccrr,1=曹
pavbb,1=爬
yaeaa,1=丫
vahvv,1=炸
bibtt,1=壁
ysdyy,1=涌
xsxaa,1=凶
lheaa,1=郎
subbb,1=宿
yrxxx,1=怨
zvyzz,1=醉
pozbb,1=迫
geaaa,1=革
qnmjj,1=瞧
uuiyy,1=输
licll,1=莉
vsvxx,1=忠
kegyy,1=颗
enkee,1=嗯
jxrtt,1=佳
lvfnn,1=旅
rfree,1=仁
pmmbb,1=骗
hcdgg,1=浩
tatkk,1=塔
phybb,1=胖
xusvv,1=绪
fgmff,1=枫
bafyy,1=拔
pchbb,1=炮
furcc,1=傅
kdujj,1=凯
xpyee,1=邪
fhcff,1=芳
hydjj,1=浑
dodcc,1=夺
dvtaa,1=堆
lplyy,1=裂
zczcc,1=遭
iitdd,1=赤
xrfnn,1=旋
nqfii,1=扭
jpdjj,1=洁
fudff,1=浮
xixpp,2=悉
hvfxx,1=慧
dmbaa,1=典
uhebb,1=赏
csppp,1=匆
pkypp,1=评
zsscc,1=纵
lmcll,1=莲
wuyww,2=雾
wupaa,2=乌
ytzyy,1=跃
vlduu,1=壮
fgaaa,1=丰
geeaa,1=隔
jmrjj,1=健
xbluu,1=辛
difdd,1=抵
vudpp,1=竹
ierqq,1=彻
momuu,1=摩
hsiuu,1=轰
bmsbb,1=编
duytt,1=肚
iafjj,1=插
momuu,2=磨
aikaa,1=哎
yurxx,1=御
ndecc,1=耐
juxjj,1=惧
uipvv,1=氏
hvgjj,1=辉
fufff,1=扶
hvxhh,1=恢
mcepp,1=貌
uuzuu,1=述
luuvv,1=录
tofyy,1=拖
bhypp,1=膀
ykynn,1=鹰
mgzmm,1=孟
dizdd,1=递
rvwee,1=瑞
iyikk,1=唇
zjvrr,1=暂
hohbb,1=货
qbwjj,1=琴
zszzz,1=踪
maumm,1=码
wwumm,1=尾
wwwxx,1=慰
ueitt,1=蛇
lkwll,1=玲
yyrii,1=晕
syfyy,1=损
xrigg,1=轩
yjfdd,1=掩
piubb,1=屁
yzrxx,1=悠
yhree,1=仰
lkyll,1=零
mgrmm,1=盟
tuzyy,1=途
hsdgg,1=洪
wuxww,1=悟
gukgg,1=固
yayyy,1=讶
dswdd,1=冬
hxdgg,1=滑
tmugg,1=甜
yuyee,1=郁
lbwll,1=琳
llill,1=辆
vuqvv,1=猪
ninnn,1=妮
vgfvv,1=挣
djraa,1=旦
tjtdd,1=坦
gjaaa,1=甘
pwrjj,1=佩
ldcll,1=莱
xlzdd,1=享
hzkkk,1=吼
gzmgg,1=构
ffmff,1=粉
sacii,1=萨
wfkww,1=吻
qmdtt,1=潜
ourdd,1=偶
jpcgg,1=戒
nsdnn,2=浓
hvjyy,1=毁
xnjxx,1=销
dizyy,1=迪
jufjj,1=拒
legll,1=勒
lhydd,1=朗
xikxx,1=嘻
vhjii,1=帐
fwgff,1=废
yjzvv,1=延
qngyy,1=敲
ljhll,1=烂
mjryy,1=曼
yjiqq,1=厌
yibqq,1=宜
xqeii,1=羞
wwkww,3=喂
ybkjj,1=吟
diddd,1=滴
vzdvv,1=洲
dpfdd,1=爹
yjfss,1=艳
qkrqq,1=晴
fufww,1=抚
sosss,1=缩
xpubb,1=协
yhann,1=央
hvxmm,1=悔
xneyy,1=肖
ijsll,1=缠
cvyww,1=脆
hfbnn,1=痕
wurww,1=伍
jibuu,1=寂
qihkk,1=启
xlyyy,1=翔
bcccc,1=薄
hzruu,2=侯
qryll,1=劝
goxee,1=郭
nunyy,1=奴
mkknn,1=鸣
qkrqq,2=倾
birpp,1=彼
rgfnn,1=扔
yuyxx,1=豫
jmmaa,2=检
vfjuu,1=针
ycgvv,1=耀
iibvv,1=痴
munmm,1=姆
pmvbb,1=篇
yimqq,1=椅
ihapp,1=厂
dscvv,1=董
xsnee,1=熊
mdtll,1=埋
gkpbb,1=乖
huqgg,1=狐
jlcjj,1=蒋
tazrr,1=踏
lseuu,1=隆
kofuu,1=括
icdii,1=潮
aikuu,1=唉
csezz,1=聪
hrkhh,1=唤
tduaa,1=泰
bjpff,1=版
qifqq,1=旗
yiryy,3=仪
jnree,1=焦
mcqmm,1=猫
dccmm,1=盗
uirss,1=侍
jifqq,1=挤
kruqq,1=款
uifhh,1=拾
hlcvv,1=荒
zicnn,1=姿
yuthh,1=域
dafdd,2=搭
mdyyy,1=脉
uzfuu,1=授
surgg,1=俗
rsiaa,1=融
yuqqq,1=狱
qiqqq,1=欺
fhyff,1=访
sojbb,1=锁
bayyy,1=霸
qmdnn,1=牵
iidyy,1=池
ghdxx,1=港
njknn,1=喃
tkzrr,1=廷
igqnn,1=乘
mawmm,1=玛
fgaaa,2=奉
iefvv,1=扯
ytquu,1=岳
jmdxx,1=减
wjgdd,1=弯
jxann,1=夹
ciuxx,1=辞
anugg,1=岸
qiujj,1=岂
quuii,1=屈
ncxaa,1=恼
vevkk,1=哲
jihzz,1=季
vcdkk,1=召
shunn,1=丧
iheyy,1=尝
gscdd,1=恭
zdigg,1=载
uzbss,1=瘦
jpbbb,1=皆
popyy,1=颇
mhcww,2=茫
rjdmm,1=染
suvaa,1=肃
ulxaa,1=爽
recxx,1=惹
aidnn,1=哀
qnyaa,1=乔
ifzpp,1=趁
pujff,1=铺
lvkkk,1=吕
jlddd,1=奖
bwrkk,1=倍
vffii,1=振
tkntt,1=婷
lcbnn,1=牢
rcfyy,1=扰
lqdll,1=溜
phgll,1=庞
izzqq,1=臭
ytxdd,1=悦
heiii,1=赫
ykwff,1=赢
gvzww,1=跪
mdwaa,1=麦
vimvv,1=枝
xxrjj,1=侠
qrbuu,1=泉
jpqll,1=劫
yjhhh,1=炎
nidnn,1=泥
dubvv,1=赌
gsvvv,1=弓
wwwgg,1=魏
vcszz,1=罩
jibuu,2=疾
uiujj,2=饰
fuvff,1=符
ivpaa,1=垂
ykryy,1=映
modmm,1=漠
boyzz,1=脖
ybuqq,1=饮
yjdkk,1=沿
ljxll,1=懒
fuyff,1=肤
kjtuu,1=堪
rjhrr,1=燃
vozaa,1=卓
vuuxx,1=祝
lduff,1=赖
jxxbb,1=贾
irkee,1=喘
yjhjj,1=焰
ickuu,1=吵
mkbll,1=冥
xpgtt,1=鞋
yiztt,1=逸
kugii,1=库
kuykk,1=裤
wjuww,1=碗
hhvkk,1=航
tizyy,1=踢
yinyy,1=姨
sryww,1=酸
xnkss,1=啸
lkill,1=龄
gemgg,2=阁
ueqkk,1=舌
xlvxx,1=箱
fgdmm,1=冯
bhfee,1=邦
ghjgg,1=钢
xxyyy,1=霞
curzz,1=促
pcdbb,1=泡
dympp,1=盾
yheaa,2=羊
biwuu,1=碧
yrfyy,1=援
jijxx,1=忌
mofmm,2=抹
qmrqq,1=倩
pfkbb,1=喷
ljfll,1=拦
jxujj,1=嘉
xqyyy,1=袖
uudvv,1=殊
ifinn,1=辰
fjmxx,1=繁
losgg,1=络
pcfll,1=抛
jxnjj,1=嫁
vzkjj,1=咒
iefww,1=撤
jmjjj,1=键
uidxx,1=湿
isadd,1=虫
ufbuu,1=审
xmnqq,1=献
mwnmm,1=媚
xmbaa,1=贤
gecvv,1=葛
uaudd,1=刹
yrtnn,1=袁
ukfll,1=摔
xugyy,1=序
vuvgg,1=筑
xpydd,1=斜
waadd,1=瓦
tudyy,1=涂
wjdww,1=湾
uacuu,1=莎
isuzz,1=崇
lpqxx,1=猎
xkkdd,1=刑
mohtt,1=墨
wantt,1=娃
timdd,1=梯
tcmvv,1=桃
dzaaa,1=豆
jxjmm,2=驾
qmdgg,1=浅
jkrgg,1=径
eeuww,1=饿
pibpp,1=疲
bjfbb,1=搬
gxpnn,1=瓜
ykcyy,2=莹
zidzz,1=滋
lkjll,1=铃
mjidd,1=蛮
dicdd,1=蒂
bofff,1=拨
tcduu,1=涛
yuvvv,1=予
gzpdd,1=勾
hvxaa,1=惠
ximjj,1=析
kjuqq,1=砍
igfii,1=撑
jpvgg,1=截
cofxx,1=措
bijpp,1=币
wwcww,1=薇
yuyxx,2=愈
dumuu,1=督
xluyy,1=祥
buxbb,1=怖
qbryy,1=侵
yjuuu,1=岩
bjfff,1=扮
zcmcc,1=糟
yknmm,1=盈
fuyff,2=腹
vjijj,1=斩
iiunn,1=尺
qmvaa,1=签
xihxx,1=稀
tcfff,1=掏
qidqq,1=汽
yedyy,1=液
jinii,1=姬
kvxgg,1=愧
hvdkk,1=汇
vumvv,1=柱
llmll,1=粮
bcbtt,1=堡
vhrvv,1=仗
bfvbb,1=笨
zztaa,1=奏
qmjqq,1=歉
ukpvv,1=甩
vgxvv,1=怔
yyevv,1=允
jklxx,1=竞
hounn,1=祸
yeeee,1=耶
jtcpp,1=爵
jiszz,1=绩
yzyxx,1=诱
wukww,1=呜
xtbbb,1=穴
lihuu,1=黎
zuhqq,1=租
pwtkk,1=培
zauzz,1=砸
mommm,2=麽
jkaaa,1=井
wobnn,1=窝
migee,1=弥
fjzff,1=返
pieaa,1=匹
jmngg,1=奸
moebb,1=陌
pjbff,1=叛
hemhh,1=核
woibb,1=卧
fujff,1=幅
vamff,1=眨
hcmaa,1=耗
sadxx,1=洒
yixtt,1=怡
xlyyy,2=详
luuhh,1=卢
kzfkk,1=扣
waktt,1=哇
izvaa,1=丑
mmmll,1=勉
xnuzz,1=孝
mcvpp,1=矛
ffqff,1=氛
hgrdd,1=衡
tceff,1=陶
gzbgg,1=购
whdww,1=汪
jlraa,1=僵
lnbll,1=疗
fwnjj,1=妃
fasdd,1=罚
qimqq,2=棋
fgsff,1=缝
fukff,1=咐
quuqq,1=躯
fjdff,1=泛
izqxx,1=愁
cizxx,1=慈
fwybb,1=肥
lsvll,1=笼
ljvjj,1=篮
jurjj,1=俱
wwxaa,1=惟
gvmjj,1=柜
vofzz,1=捉
xrxxx,1=悬
hoyaa,1=霍
xpduu,1=泄
yjkyy,1=咽
iivaa,1=齿
qblaa,1=勤
pkubb,1=屏
ulyxx,1=霜
pcybb,1=袍
dpimm,1=蝶
jiupp,1=祭
iuicc,1=厨
xpybb,1=胁
liwll,2=璃
pibdd,1=劈
vrbjj,1=赚
jbjbb,1=锦
gajaa,1=尬
gjjaa,1=尴
xieaa,1=熙
sitcc,1=寺
ihrrr,1=昌
hejbb,1=贺
jbaaa,1=巾
mnfmm,1=描
bufff,1=捕
lkeww,1=陵
kekhh,1=咳
ujhyy,1=扇
hsigg,1=虹
mmsjj,1=绵
sifss,1=撕
cdcjj,1=蔡
pgupp,1=彭
isbll,1=宠
tjjbb,1=贪
rurcc,1=辱
uivyy,1=誓
hehmm,1=盒
cyadd,1=寸
pifpp,1=披
lzfll,1=搂
rcuww,1=饶
qmrpp,1=欠
jiyjj,2=肌
uzrkk,1=售
xyzvv,1=巡
yifee,1=抑
wfsww,1=纹
hsbdd,1=宏
yzsll,1=幼
pkcpp,1=萍
vumvv,2=驻
cscaa,1=丛
yiryy,4=亿
bofff,2=播
eerww,1=俄
rfddd,1=刃
lwcll,1=蕾
aifuu,1=挨
vsrvv,1=仲
mdzww,1=迈
wwzww,1=违
bmyxx,1=辩
aituu,1=埃
szvss,1=艘
qiwqq,1=琪
zdbhh,1=灾
duddd,1=渡
bwupp,1=卑
dnvaa,1=雕
uujvv,1=鼠
xyyuu,1=讯
laxuu,1=辣
jmynn,1=艰
iijdd,1=斥
qyyjj,1=裙
cvyzz,1=翠
bcubb,1=饱
ltfjj,1=掠
xyyxx,1=询
boull,1=勃
xipdd,1=夕
aiuww,1=矮
ycwff,1=瑶
cibyy,1=赐
ilmmm,1=闯
ycnvv,1=姚
sewbb,1=瑟
kedvv,1=渴
llyjj,1=谅
ahree,1=昂
iraaa,1=串
gzdgg,1=沟
uedbb,1=涉
gukgg,2=咕
uimuu,1=驶
uefnn,1=摄
pbfbb,1=贫
yriyy,1=辕
wjnww,1=婉
pgpnn,1=鹏
jlenn,1=姜
aiucc,1=碍
hechh,1=荷
grbcc,1=冠
mwgww,1=魅
mwwww,1=玫
cdygg,1=裁
potpp,1=坡
hsdnn,1=鸿
dgyee,1=邓
wdbvv,1=歪
favpp,1=乏
ufaaa,1=申
gehdd,1=割
wugcc,1=巫
ujypp,1=衫
bhmff,1=棒
komhh,1=阔
qidll,1=泣
wwaaa,1=韦
hlxgg,1=恍
grbaa,2=贯
pobgg,1=魄
bkmbb,1=柄
hrixx,1=患
fuxff,1=覆
mibii,1=蜜
ykbnn,1=婴
lilll,1=励
gojnn,1=锅
biebb,1=陛
vezuu,1=遮
pajbb,1=帕
kakjj,1=咖
xmnjj,1=嫌
geygg,1=胳
pakpp,1=啪
klugg,1=矿
qidqq,2=凄
vxppp,1=爪
mmmmm,1=眠
muhpp,1=穆
fwkff,1=啡
wuwkk,1=吾
tjtyy,1=坛
piybb,1=脾
hgxdd,1=恒
tuuvv,1=屠
bowpp,1=玻
rscrr,1=蓉
iuuii,1=础
ytkaa,1=曰
sscee,1=耸
boycc,1=膊
nizpp,1=逆
uzcaa,1=寿
qumqq,1=驱
hzqhh,1=猴
ysryy,1=佣
yilyy,1=毅
jqjnn,1=舅
tsjtt,1=铜
jrnyy,1=娟
mimmm,1=眯
ybdrr,1=淫
ffkff,1=吩
fwfaa,1=匪
munww,1=牧
yiryy,5=役
jibqq,1=寄
gvyww,1=诡
xmsqq,1=纤
fufrr,1=腐
ybnyy,1=姻
xirjj,1=晰
yrdaa,1=渊
tkddd,1=亭
yczww,1=邀
hskgg,1=哄
scmii,1=骚
muctt,1=墓
kemkk,1=柯
jbvll,1=筋
cvuaa,1=崔
cjhuu,1=灿
jpfnn,1=捷
lbdll,1=淋
fuvaa,1=弗
jiiee,1=辑
gymkk,1=棍
ugsdd,1=绳
pbbyy,1=频
lhgll,1=廊
wwtnn,1=畏
xprqq,1=歇
godnn,1=裹
mnctt,1=苗
pjmff,1=盼
kakgg,1=咯
uxenn,1=耍
uaepp,1=煞
qbbyy,1=寝
mjmll,1=瞒
tmdtt,1=添
scnss,1=嫂
jqsaa,1=纠
kdxjj,1=慨
rhknn,1=嚷
iimyy,1=驰
gkfll,1=拐
yjbnn,1=宴
jbdaa,1=津
ljuff,1=岚
yudgg,1=浴
iievv,1=耻
wjfmm,1=挽
yebaa,1=页
yueyy,1=誉
ugnuu,1=牲
rufvv,1=乳
chrvv,1=仓
uizvv,1=逝
hzkhh,1=喉
glzkk,1=逛
ykmyy,1=樱
jmenn,1=兼
geadd,1=戈
hxkhh,1=哗
yadtt,1=涯
pgfff,1=捧
mkjmm,1=铭
vhevv,1=障
tjfnn,1=摊
kxzkk,1=跨
tonpp,1=妥
rzfrr,1=揉
jbyrr,1=晋
mobmm,1=寞
vdbdd,1=寨
qidqq,3=漆
wudkk,1=污
ickii,1=嘲
mwmww,1=枚
dnkjj,1=吊
qmuqq,1=乾
xbuxx,1=馨
wwrww,3=伪
shkss,1=嗓
igkww,1=呈
qkjpp,1=卿
njmnn,1=楠
jivxx,1=籍
loygg,1=裸
lmjll,1=链
grdaa,1=灌
kyrbb,1=昆
ihupp,1=畅
xnzxx,1=逍
mcjmm,1=帽
ytmdd,1=阅
dzzdd,1=逗
dyzzz,1=蹲
cdzcc,1=踩
yakyy,1=哑
pazbb,1=趴
fgzff,1=逢
vimvv,2=植
mwnmm,2=媒
yyyyy,1=韵
vcrvv,1=昭
ybvpp,1=尹
